;;;;
bewolkt. Doeken open. 4500 lux;;;;
;open;wit;transparant;open
716;4,83066E-02;1,04922E-02;4,33013E-02;4,87466E-02
717;4,25204E-02;9,43918E-03;3,82341E-02;4,36852E-02
718;3,88543E-02;8,62520E-03;3,40662E-02;4,03841E-02
719;3,88463E-02;8,85580E-03;3,49688E-02;3,88674E-02
720;4,12926E-02;9,79572E-03;3,80142E-02;4,18462E-02
721;4,42031E-02;1,08464E-02;4,04485E-02;4,52954E-02
722;4,55992E-02;1,12102E-02;4,16659E-02;4,62086E-02
723;4,39878E-02;1,09847E-02;3,94147E-02;4,52657E-02
724;4,20974E-02;1,06651E-02;3,79416E-02;4,21328E-02
725;4,09502E-02;1,05728E-02;3,73248E-02;4,15249E-02
726;4,10456E-02;1,07018E-02;3,74256E-02;4,13951E-02
727;4,14914E-02;1,08470E-02;3,73110E-02;4,12769E-02
728;4,17665E-02;1,11585E-02;3,73739E-02;4,26268E-02
